item_id,source_title,source_url,source_creator,source_license,source_version,target_language,translator,reviewer,translation_status,review_status,changes_marked,attribution_complete,output_url,notes
ELT365-001,,,,,,French,,,planned,not_started,no,no,,
ELT365-002,,,,,,Bengali,,,planned,not_started,no,no,,
